Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_CAPTACIONESPLAZO.DEPOSITO_REINVERSION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.DEPOSITO_RENOVACION,SECUENCIALDEPOSITO,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.DEPOSITO_RENOVACION,SECUENCIALDEPOSITORENUEVA,int,NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITO_RENOVACION,VALOR,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITO_RENOVACION,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_CAPTACIONESPLAZO.DEPOSITO_RENOVACION,FECHASISTEMA,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITO_RENOVACION,FECHAMAQUINA,datetime(3),NO,,,
FBS_CAPTACIONESPLAZO.DEPOSITO_RENOVACION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.EMPRESAPARAMETRO_TASAMAXIMA,SECUENCIALEMPRESA,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.EMPRESAPARAMETRO_TASAMAXIMA,TASAMAXIMA,"decimal(18,2)",NO,,,
FBS_CAPTACIONESPLAZO.EMPRESAPARAMETRO_TASAMAXIMA,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.EMPRESAPARAMETRO_TASAMAXIMA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.EMPRESA_PARAMETROGENERACIONPLA,SECUENCIALEMPRESA,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.EMPRESA_PARAMETROGENERACIONPLA,SECUENCIALDEPOSITOACTUAL,int,NO,,,
FBS_CAPTACIONESPLAZO.EMPRESA_PARAMETROGENERACIONPLA,NUMEROVERIFICADOR,int,NO,,,
FBS_CAPTACIONESPLAZO.EMPRESA_PARAMETROGENERACIONPLA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_CAPTACIONESPLAZO.EMPRESA_PARAMETROIMPRDOCSPLA,SECUENCIALEMPRESA,int,NO,PRI,,
FBS_CAPTACIONESPLAZO.EMPRESA_PARAMETROIMPRDOCSPLA,VISTAIMPRIMEDEPOSITO,varchar(100),NO,,,
FBS_CAPTACIONESPLAZO.EMPRESA_PARAMETROIMPRDOCSPLA,NUMEROVERIFICADOR,int,NO,,,
