Table,Column Name,Data Type,Nullable,Key,Default,Extra
FBS_PRESUPUESTOS.PRESUPUESTO,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,SECPRESUPUESTOOFICCTACBLE,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,VALORAJUSTEDEUDOR,"decimal(18,2)",NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,VALORAJUSTEACREEDOR,"decimal(18,2)",NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,PORCENTAJEADICIONALPERMITIDO,"decimal(18,2)",NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,ESCONTROLACUMULADOANUAL,tinyint,NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,VALORDEUDORANTES,"decimal(18,2)",NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,VALORACREEDORANTES,"decimal(18,2)",NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,FECHASISTEMA,datetime(3),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,FECHAMAQUINA,datetime(3),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,ESTADOAJUSTE,varchar(20),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAJUSTE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAPROBACION,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAPROBACION,SECPRESUPUESTOOFICCTACBLEAJUSTE,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAPROBACION,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAPROBACION,FECHASISTEMA,datetime(3),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAPROBACION,FECHAMAQUINA,datetime(3),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAPROBACION,APROBOAJUSTE,tinyint unsigned,NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLEAPROBACION,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AREAAJU,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AREAAJU,SECPRESUPUESTOOFICCTACBLEAREA,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AREAAJU,VALORAJUSTEDEUDOR,"decimal(18,2)",NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AREAAJU,VALORAJUSTEACREEDOR,"decimal(18,2)",NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AREAAJU,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AREAAJU,FECHASISTEMA,datetime(3),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AREAAJU,FECHAMAQUINA,datetime(3),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AREAAJU,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AUXCBLE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AUXCBLE,SECPRESUPUESTOOFICCTACBLE,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AUXCBLE,SECUENCIALAUXILIARCONTABLE,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AUXCBLE,VALORDEUDOR,"decimal(18,2)",NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AUXCBLE,VALORACREEDOR,"decimal(18,2)",NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICCTACBLE_AUXCBLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.PRESUPUESTOOFICINA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PRESUPUESTOS.PRESUPUESTOOFICINA,SECUENCIALPRESUPUESTO,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINA,SECUENCIALOFICINA,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINA,COMPLETADO,tinyint unsigned,NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINA,ESTAACTIVO,tinyint unsigned,NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINA,NUMEROVERIFICADOR,int,NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINA,SECUENCIALDIVISIONORGANIZACION,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINA,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTE,SECUENCIALPRESUPUESTOOFICINA,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTE,NUMEROACTA,varchar(25),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTE,DETALLE,varchar(500),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTE,ESTAAPROBADO,tinyint,NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTE,CODIGOUSUARIO,varchar(25),NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTE,FECHASISTEMA,datetime(3),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTE,FECHAMAQUINA,datetime(3),NO,,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTEDETALLE,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTEDETALLE,SECUENCIALPRESUPUESTOOFICINAAJUSTE,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTEDETALLE,SECPRESUPUESTOOFICINACTACTBLEAJUSTE,int,NO,MUL,,
FBS_PRESUPUESTOS.PRESUPUESTOOFICINAAJUSTEDETALLE,CONCURRENCIA,timestamp(6),YES,,CURRENT_TIMESTAMP(6),DEFAULT_GENERATED on update CURRENT_TIMESTAMP(6)
FBS_PRESUPUESTOS.PRESUPUESTOOFICINACTACBLE_AREA,SECUENCIAL,int,NO,PRI,,auto_increment
FBS_PRESUPUESTOS.PRESUPUESTOOFICINACTACBLE_AREA,SECPRESUPUESTOOFICCTACBLE,int,NO,MUL,,
